Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:51:58,88500000,+4.49%,84 000 000,92 900 000
2025-03-17,11:40:13,88500000,+4.49%,84 000 000,92 900 000
2025-03-17,13:40:13,90800000,+2.6%,86 200 000,95 300 000
2025-03-17,15:40:13,91900000,+1.21%,87 300 000,96 400 000
2025-03-17,21:24:40,85600000,-2.28%,81 300 000,89 800 000
2025-03-17,21:40:13,85600000,-2.28%,81 300 000,89 800 000
2025-03-17,23:40:13,85400000,-0.23%,81 100 000,89 600 000
2025-03-18,01:40:13,85700000,+0.35%,81 400 000,89 900 000
2025-03-18,03:40:12,86700000,+1.17%,82 300 000,91 000 000
2025-03-18,05:40:13,86500000,-0.23%,82 100 000,90 800 000
2025-03-18,07:40:13,83100000,-3.93%,78 900 000,87 200 000
2025-03-18,09:40:12,82700000,-0.48%,78 500 000,86 800 000
2025-03-18,11:40:12,83600000,+1.09%,79 400 000,87 700 000
2025-03-18,13:40:14,84100000,+0.6%,79 800 000,88 300 000
2025-03-18,15:40:13,85300000,+1.43%,81 000 000,89 500 000
2025-03-18,17:40:15,87000000,+1.99%,82 600 000,91 300 000
