Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:52:52,55600000,-4.63%,52 800 000,58 300 000
2025-03-17,10:55:12,55600000,-4.63%,52 800 000,58 300 000
2025-03-17,12:54:32,53300000,-4.14%,50 600 000,55 900 000
2025-03-17,14:54:09,51100000,-4.13%,48 500 000,53 600 000
2025-03-17,16:54:32,48900000,-4.31%,46 400 000,51 300 000
2025-03-17,21:24:53,50000000,+1.83%,47 500 000,52 400 000
2025-03-17,22:59:29,51400000,+2.8%,48 800 000,53 900 000
2025-03-18,00:59:32,52200000,+1.56%,49 500 000,54 800 000
2025-03-18,02:59:28,53800000,+3.07%,51 100 000,56 400 000
2025-03-18,04:59:31,54500000,+1.3%,51 700 000,57 200 000
2025-03-18,06:59:30,54700000,+0.37%,51 900 000,57 400 000
2025-03-18,08:58:43,52400000,-4.2%,49 700 000,55 000 000
2025-03-18,10:54:08,50100000,-4.39%,47 500 000,52 600 000
2025-03-18,12:59:31,47900000,-4.39%,45 500 000,50 200 000
2025-03-18,18:57:28,47400000,+1.28%,45 000 000,49 700 000
