Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:51:38,28500000,-4.04%,27 000 000,29 900 000
2025-03-17,11:40:30,28500000,-4.04%,27 000 000,29 900 000
2025-03-17,13:41:00,28600000,+0.35%,27 100 000,30 000 000
2025-03-17,15:40:19,28500000,-0.35%,27 000 000,29 900 000
2025-03-17,21:24:33,26400000,-1.86%,25 000 000,27 700 000
2025-03-17,21:42:18,26400000,-1.86%,25 000 000,27 700 000
2025-03-17,23:42:18,26800000,+1.52%,25 400 000,28 100 000
2025-03-18,01:42:17,26700000,-0.37%,25 300 000,28 000 000
2025-03-18,03:42:17,26600000,-0.37%,25 200 000,27 900 000
2025-03-18,05:42:19,26400000,-0.75%,25 000 000,27 700 000
2025-03-18,07:42:18,26000000,-1.52%,24 700 000,27 200 000
2025-03-18,09:40:21,26600000,+2.31%,25 200 000,27 900 000
2025-03-18,11:42:18,27000000,+1.5%,25 600 000,28 300 000
2025-03-18,13:40:21,27700000,+2.59%,26 300 000,29 000 000
2025-03-18,15:40:20,28300000,+2.17%,26 800 000,29 700 000
2025-03-18,17:40:23,28800000,+1.77%,27 300 000,30 200 000
