Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:49:07,44500000,-2.41%,42 200 000,46 700 000
2025-03-17,11:06:56,44500000,-2.41%,42 200 000,46 700 000
2025-03-17,13:07:34,42700000,-4.04%,40 500 000,44 800 000
2025-03-17,15:08:41,40800000,-4.45%,38 700 000,42 800 000
2025-03-17,21:23:23,37600000,-2.34%,35 700 000,39 400 000
2025-03-17,23:07:36,37100000,-1.33%,35 200 000,38 900 000
2025-03-18,01:09:58,36900000,-0.54%,35 000 000,38 700 000
2025-03-18,03:09:53,35900000,-2.71%,34 100 000,37 600 000
2025-03-18,05:09:59,35200000,-1.95%,33 400 000,36 900 000
2025-03-18,07:20:28,37800000,+5%,35 900 000,39 600 000
2025-03-18,09:06:31,37800000,+5%,35 900 000,39 600 000
2025-03-18,11:06:01,39100000,+3.44%,37 100 000,41 000 000
2025-03-18,13:08:59,40500000,+3.58%,38 400 000,42 500 000
2025-03-18,15:07:37,40000000,-1.23%,38 000 000,42 000 000
2025-03-18,17:06:51,40000000,-1.23%,38 000 000,42 000 000
